Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL4466671,COc1ccc(C2(C(=O)NCCCn3cncc3C)CCCCC2)cc1OC,7.11
CHEMBL3703776,Cc1cn(CCCn2c(=S)[nH]c3ccsc3c2=O)cn1,5.995
CHEMBL3703764,Cc1cn(CCCn2c(=S)[nH]c3c(C)csc3c2=O)cn1,6.02
CHEMBL3703777,Cc1csc2c(=O)n(CCCn3ccnc3)c(=S)[nH]c12,6.44
CHEMBL3703752,Cc1csc2c(=O)n(CCCn3cncc3C)c(=S)[nH]c12,6.77
CHEMBL5287602,Cc1n[nH]c2cc(N(CC3CCCC3)C(=O)NCCCn3cncc3C)ccc12,7.84
CHEMBL5289328,Cc1nn(C)c2cc(N(CC3CCCC3)C(=O)NCCCn3cncc3C)ccc12,8.47
CHEMBL202716,Cc1ccc(OCCCn2ccnc2)cc1,5.11
CHEMBL4076559,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCNc1ncc(F)cn1,7.76
CHEMBL4075925,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCNc1ncccn1,8.24
CHEMBL5073074,COc1cc(N(C(=O)NCCCn2cncc2C)C2CCN(C)CC2)ccc1OCCN1CCOCC1,7.48
CHEMBL382778,c1ccc2sc(NCCCn3ccnc3)nc2c1,5.43
CHEMBL381321,Clc1ccc2nc(NCCCn3ccnc3)sc2c1,5.47
CHEMBL383101,COc1cc2nc(NCCCn3ccnc3)sc2cc1OC,5.7
CHEMBL201234,COc1ccc2nc(NCCCn3ccnc3)sc2c1,5.8
CHEMBL112666,S=C(NCCCn1ccnc1)NC1CCCCC1,5.33
CHEMBL3781605,Cc1ccsc1-c1cc(=O)c2c(O)cc(O)cc2o1,4.71
CHEMBL3781389,Cc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)s1,4.82
CHEMBL3780826,O=c1cc(-c2cccs2)oc2cc(O)cc(O)c12,4.82
CHEMBL5085825,COc1cc(N(C(=O)NCc2ccc3[nH]cnc3c2)C2CCNCC2)ccc1OCCCCc1ccnc(N)c1,7.7
CHEMBL5081502,COc1cc(N(C(=O)NCc2ccc3[nH]cnc3c2)C2CCN(C)CC2)ccc1OCCCCc1ccnc(N)c1,8.0
CHEMBL3677292,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(F)cc1,6.75
CHEMBL3677281,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccccc1,6.755
CHEMBL3677283,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1cc(C(F)(F)F)ccc1F,6.77
CHEMBL3677286,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(Cl)c(C(F)(F)F)c1,6.775
CHEMBL3677289,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1cccc(Cl)c1,6.86
CHEMBL3677290,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc(Cl)cc1,6.95
CHEMBL3677284,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1cc(F)ccc1Br,7.1
CHEMBL3677291,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccccc1Cl,7.21
CHEMBL3677282,Cc1ccc(O)c(C2C(=O)NC(=O)N2c2ccc3[nH]cnc3c2)c1,7.390000000000001
CHEMBL3677285,CCCOc1ccc(C2C(=O)NC(=O)N2c2ccc3[nH]cnc3c2)cc1,7.525
CHEMBL3677287,COc1ccc(C2C(=O)NC(=O)N2c2ccc3[nH]cnc3c2)cc1O,8.5
CHEMBL4062842,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCc1ccc(N)cc1,8.05
CHEMBL5277577,Cc1nn(CCCCc2ccnc(N)c2)c2ccc(NC(=O)NCCCn3cncc3C)cc12,7.94
CHEMBL2392805,Cc1cncn1CCCNC(=S)Nc1ccc2nc[nH]c2c1,6.33
CHEMBL2392807,Cc1cncn1CCCNC(=S)Nc1ccc2ncn(C)c2c1,6.34
CHEMBL4084521,COc1cc(NC(=S)NCCCn2cncc2C)ccc1OCCCCc1ccc(N)cc1,8.08
CHEMBL5084485,COc1cc(N(Cc2ccc(F)cc2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCOCC1,8.59
CHEMBL5289956,Cc1n[nH]c2ccc(N(Cc3ccc(F)cc3)C(=O)NCCCn3cncc3C)cc12,7.85
CHEMBL5266206,Cc1nn(C)c2ccc(N(Cc3ccc(F)cc3)C(=O)NCCCn3cncc3C)cc12,8.52
CHEMBL565694,Cc1csc2c1NC(=S)N(CCCn1ccnc1)C2,6.44
CHEMBL5087075,COc1cc(N(C(=O)NCCCn2cncc2C)c2ccccc2)ccc1OCCN1CCNCC1,8.41
CHEMBL3780173,O=c1cc(-c2ccncc2)oc2cc(O)ccc12,4.58
CHEMBL4590359,COc1ccc(N(Cc2ccc(Cl)cc2)C(=S)NCCCn2cncc2C)cc1OC,8.28
CHEMBL4459792,COc1ccc(N(Cc2ccccc2)C(=S)NCCCn2cncc2C)cc1OC,8.34
CHEMBL4586501,COc1ccc(N(Cc2cccc(Cl)c2)C(=S)NCCCn2cncc2C)cc1OC,8.46
CHEMBL4539841,COc1ccc(N(Cc2cccc(F)c2)C(=S)NCCCn2cncc2C)cc1OC,8.47
CHEMBL4525926,COc1ccc(N(Cc2ccc(F)cc2)C(=S)NCCCn2cncc2C)cc1OC,8.89
CHEMBL5069805,COc1cc(N(C)C(=O)NCCCn2cncc2C)ccc1OCCN1CCNCC1,7.87
CHEMBL5081811,COc1cc(NC(=O)NCCCn2cncc2C)ccc1OCCN1CCNCC1,7.88
CHEMBL5090689,COc1cc(NC(=O)NCCCn2cncc2C)ccc1OCCN1CCN(C)CC1,7.96
CHEMBL5093456,COc1cc(N(C(=O)NCCCn2cncc2C)C(C)C)ccc1OCCN1CCNCC1,8.26
CHEMBL5082895,CCN(C(=O)NCCCn1cncc1C)c1ccc(OCCN2CCNCC2)c(OC)c1,8.32
CHEMBL5094369,COc1cc(N(C(=O)NCCCn2cncc2C)C(C)C)ccc1OCCN1CCN(C)CC1,8.59
CHEMBL3677280,O=C1NC(=O)N(c2ccc3[nH]cnc3c2)C1c1ccc2nsnc2c1,7.69
CHEMBL5085670,COc1cc(N(CC2CCCC2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCN(C)CC1,9.0
CHEMBL5086776,COc1cc(N(CC2CCCC2)C(=O)NCCCn2cncc2C)ccc1OCCN1CCNCC1,9.34
